year,people,status,quarter,year_quarter,status_num
2004,341.40,Arrival,Q1,2004_Q1,1
2004,350.17,Arrival,Q2,2004_Q2,1
2004,358.95,Arrival,Q3,2004_Q3,1
2004,367.73,Arrival,Q4,2004_Q4,1
2005,376.50,Arrival,Q1,2005_Q1,1
2005,391.73,Arrival,Q2,2005_Q2,1
2005,406.95,Arrival,Q3,2005_Q3,1
2005,422.17,Arrival,Q4,2005_Q4,1
2006,437.40,Arrival,Q1,2006_Q1,1
2006,453.38,Arrival,Q2,2006_Q2,1
2006,469.35,Arrival,Q3,2006_Q3,1
2006,485.33,Arrival,Q4,2006_Q4,1
2007,501.30,Arrival,Q1,2007_Q1,1
2007,505.93,Arrival,Q2,2007_Q2,1
2007,510.55,Arrival,Q3,2007_Q3,1
2007,515.18,Arrival,Q4,2007_Q4,1
2008,519.80,Arrival,Q1,2008_Q1,1
2008,499.32,Arrival,Q2,2008_Q2,1
2008,478.85,Arrival,Q3,2008_Q3,1
2008,458.38,Arrival,Q4,2008_Q4,1
2009,437.90,Arrival,Q1,2009_Q1,1
2009,436.38,Arrival,Q2,2009_Q2,1
2009,434.85,Arrival,Q3,2009_Q3,1
2009,433.33,Arrival,Q4,2009_Q4,1
2010,431.80,Arrival,Q1,2010_Q1,1
2010,444.15,Arrival,Q2,2010_Q2,1
2010,456.50,Arrival,Q3,2010_Q3,1
2010,468.85,Arrival,Q4,2010_Q4,1
2011,481.20,Arrival,Q1,2011_Q1,1
2011,486.58,Arrival,Q2,2011_Q2,1
2011,491.95,Arrival,Q3,2011_Q3,1
2011,497.33,Arrival,Q4,2011_Q4,1
2012,502.70,Arrival,Q1,2012_Q1,1
2012,501.35,Arrival,Q2,2012_Q2,1
2012,500.00,Arrival,Q3,2012_Q3,1
2012,498.65,Arrival,Q4,2012_Q4,1
2013,497.30,Arrival,Q1,2013_Q1,1
2013,492.03,Arrival,Q2,2013_Q2,1
2013,486.75,Arrival,Q3,2013_Q3,1
2013,481.48,Arrival,Q4,2013_Q4,1
2014,476.20,Arrival,Q1,2014_Q1,1
2014,479.10,Arrival,Q2,2014_Q2,1
2014,482.00,Arrival,Q3,2014_Q3,1
2014,484.90,Arrival,Q4,2014_Q4,1
2015,487.80,Arrival,Q1,2015_Q1,1
2015,493.00,Arrival,Q2,2015_Q2,1
2015,498.20,Arrival,Q3,2015_Q3,1
2015,503.40,Arrival,Q4,2015_Q4,1
2016,508.60,Arrival,Q1,2016_Q1,1
2016,513.20,Arrival,Q2,2016_Q2,1
2016,517.80,Arrival,Q3,2016_Q3,1
2016,522.40,Arrival,Q4,2016_Q4,1
2004,198.80,Departure,Q1,2004_Q1,2
2004,200.28,Departure,Q2,2004_Q2,2
2004,201.75,Departure,Q3,2004_Q3,2
2004,203.23,Departure,Q4,2004_Q4,2
2005,204.70,Departure,Q1,2005_Q1,2
2005,204.67,Departure,Q2,2005_Q2,2
2005,204.65,Departure,Q3,2005_Q3,2
2005,204.63,Departure,Q4,2005_Q4,2
2006,204.60,Departure,Q1,2006_Q1,2
2006,209.45,Departure,Q2,2006_Q2,2
2006,214.30,Departure,Q3,2006_Q3,2
2006,219.15,Departure,Q4,2006_Q4,2
2007,224.00,Departure,Q1,2007_Q1,2
2007,222.98,Departure,Q2,2007_Q2,2
2007,221.95,Departure,Q3,2007_Q3,2
2007,220.93,Departure,Q4,2007_Q4,2
2008,219.90,Departure,Q1,2008_Q1,2
2008,225.40,Departure,Q2,2008_Q2,2
2008,230.90,Departure,Q3,2008_Q3,2
2008,236.40,Departure,Q4,2008_Q4,2
2009,241.90,Departure,Q1,2009_Q1,2
2009,244.28,Departure,Q2,2009_Q2,2
2009,246.65,Departure,Q3,2009_Q3,2
2009,249.03,Departure,Q4,2009_Q4,2
2010,251.40,Departure,Q1,2010_Q1,2
2010,251.50,Departure,Q2,2010_Q2,2
2010,251.60,Departure,Q3,2010_Q3,2
2010,251.70,Departure,Q4,2010_Q4,2
2011,251.80,Departure,Q1,2011_Q1,2
2011,254.75,Departure,Q2,2011_Q2,2
2011,257.70,Departure,Q3,2011_Q3,2
2011,260.65,Departure,Q4,2011_Q4,2
2012,263.60,Departure,Q1,2012_Q1,2
2012,265.95,Departure,Q2,2012_Q2,2
2012,268.30,Departure,Q3,2012_Q3,2
2012,270.65,Departure,Q4,2012_Q4,2
2013,273.00,Departure,Q1,2013_Q1,2
2013,265.70,Departure,Q2,2013_Q2,2
2013,258.40,Departure,Q3,2013_Q3,2
2013,251.10,Departure,Q4,2013_Q4,2
2014,243.80,Departure,Q1,2014_Q1,2
2014,243.23,Departure,Q2,2014_Q2,2
2014,242.65,Departure,Q3,2014_Q3,2
2014,242.08,Departure,Q4,2014_Q4,2
2015,241.50,Departure,Q1,2015_Q1,2
2015,246.70,Departure,Q2,2015_Q2,2
2015,251.90,Departure,Q3,2015_Q3,2
2015,257.10,Departure,Q4,2015_Q4,2
2016,262.30,Departure,Q1,2016_Q1,2
2016,264.25,Departure,Q2,2016_Q2,2
2016,266.20,Departure,Q3,2016_Q3,2
2016,268.15,Departure,Q4,2016_Q4,2